,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
42,Algeria,DZA,2021-01-30,30.0,,,30.0,0.0,,,1.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
43,Algeria,DZA,2021-01-31,,,,1889.0,,,,43.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
44,Algeria,DZA,2021-02-01,,,,2509.0,,,,57.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
45,Algeria,DZA,2021-02-02,,,,2819.0,,,,64.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
46,Algeria,DZA,2021-02-03,,,,3005.0,,,,69.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
47,Algeria,DZA,2021-02-04,,,,3129.0,,,,71.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
48,Algeria,DZA,2021-02-05,,,,3217.0,,,,73.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
49,Algeria,DZA,2021-02-06,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
50,Algeria,DZA,2021-02-07,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
51,Algeria,DZA,2021-02-08,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
52,Algeria,DZA,2021-02-09,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
53,Algeria,DZA,2021-02-10,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
54,Algeria,DZA,2021-02-11,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
55,Algeria,DZA,2021-02-12,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
56,Algeria,DZA,2021-02-13,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
57,Algeria,DZA,2021-02-14,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
58,Algeria,DZA,2021-02-15,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
59,Algeria,DZA,2021-02-16,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
60,Algeria,DZA,2021-02-17,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
61,Algeria,DZA,2021-02-18,,,,3748.0,,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
62,Algeria,DZA,2021-02-19,75000.0,,,3748.0,0.17,,,85.0,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
63,Andorra,AND,2021-01-25,576.0,576.0,,,0.75,0.75,,,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
64,Andorra,AND,2021-01-26,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
65,Andorra,AND,2021-01-27,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
66,Andorra,AND,2021-01-28,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
67,Andorra,AND,2021-01-29,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
68,Andorra,AND,2021-01-30,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
69,Andorra,AND,2021-01-31,,,,66.0,,,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
70,Andorra,AND,2021-02-01,1036.0,1036.0,,66.0,1.34,1.34,,854.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
71,Andorra,AND,2021-02-02,,,,60.0,,,,777.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
72,Andorra,AND,2021-02-03,,,,55.0,,,,712.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
73,Andorra,AND,2021-02-04,,,,50.0,,,,647.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
74,Andorra,AND,2021-02-05,,,,44.0,,,,569.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
75,Andorra,AND,2021-02-06,,,,39.0,,,,505.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
76,Andorra,AND,2021-02-07,,,,34.0,,,,440.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
77,Andorra,AND,2021-02-08,,,,28.0,,,,362.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
78,Andorra,AND,2021-02-09,,,,28.0,,,,362.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
79,Andorra,AND,2021-02-10,1291.0,1291.0,,28.0,1.67,1.67,,362.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
80,Andorra,AND,2021-02-11,,,,48.0,,,,621.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
81,Andorra,AND,2021-02-12,1622.0,1622.0,,68.0,2.1,2.1,,880.0,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12450-els-casos-actius-per-covid-19-baixen-de-400-per-primer-cop-des-del-setembre
